Name,Capital,Area,Population,Flag path
Baden-W端rttemberg,Stuttgart,35752,11100394,Flag_of_Baden-W端rttemberg.EXTENSION
Bavaria,Munich,70552,13124737,Flag_of_Bavaria.EXTENSION
Berlin,Berlin,892,3669491,Flag_of_Berlin.EXTENSION
Brandenburg,Potsdam,29479,2521893,Flag_of_Brandenburg.EXTENSION
Bremen,Bremen,419,681202,Flag_of_Bremen.EXTENSION
Hamburg,Hamburg,755,1847253,Flag_of_Hamburg.EXTENSION
Hesse,Wiesbaden,21115,6288080,Flag_of_Hesse.EXTENSION
Lower Saxony,Hanover,47609,7993448,Flag_of_Lower_Saxony.EXTENSION
Mecklenburg-Vorpommern,Schwerin,23180,1609675,Flag_of_Mecklenburg-Western_Pomerania.EXTENSION
North Rhine-Westphalia,D端sseldorf,34085,17932651,Flag_of_North_Rhine-Westphalia.EXTENSION
Rhineland-Palatinate,Mainz,19853,4084844,Flag_of_Rhineland-Palatinate.EXTENSION
Saarland,Saarbr端cken,2569,990509,Flag_of_Saarland.EXTENSION
Saxony,Dresden,18416,4077937,Flag_of_Saxony.EXTENSION
Saxony-Anhalt,Magdeburg,20446,2208321,Flag_of_Saxony-Anhalt.EXTENSION
Schleswig-Holstein,Kiel,15799,2896712,Flag_of_Schleswig-Holstein.EXTENSION
Thuringia,Erfurt,16172,2143145,Flag_of_Thuringia.EXTENSION